Cliente_ID,Probabilidad_Churn,Prediccion_Churn,Segmento_Riesgo,Abandono_Cliente,Meses_Cliente,Cargo_Total,Tipo_Contrato_encoded,Servicio_Internet_Fibra Óptica,Soporte_Tecnico_No
105,0.9237797904144311,1,Alto_Riesgo,0,7,89.0,0,1,1
106,0.4491141462993379,0,Medio_Riesgo,0,27,74.4,0,1,1
107,0.34066495152349696,0,Medio_Riesgo,0,2,20.05,0,0,0
108,0.06177085782804304,0,Bajo_Riesgo,0,25,35.05,2,0,0
109,0.654102251633069,1,Medio_Riesgo,0,30,74.75,0,0,1
110,0.2500517792773931,0,Medio_Riesgo,1,58,105.5,1,1,0
111,0.8399047649852504,1,Alto_Riesgo,1,10,85.25,0,1,1
112,0.7730436025188925,1,Alto_Riesgo,0,9,75.2,0,1,1
113,0.8817487069132858,1,Alto_Riesgo,1,6,84.35,0,1,1
114,0.08412806560225412,0,Bajo_Riesgo,0,69,84.45,1,1,1
115,0.19518700769993005,0,Medio_Riesgo,0,66,102.4,2,1,1
116,0.11152459956543002,0,Medio_Riesgo,1,70,115.55,1,1,0
117,0.09863453808652464,0,Medio_Riesgo,1,25,25.3,1,0,0
118,0.036550531626238926,0,Bajo_Riesgo,0,46,19.25,2,0,0
119,0.22113803124199208,0,Medio_Riesgo,0,54,114.65,1,1,0
120,0.7316819439163931,1,Alto_Riesgo,1,15,105.1,0,1,0
121,0.21395447789293212,0,Medio_Riesgo,0,12,19.4,0,0,0
122,0.7353835444842948,1,Alto_Riesgo,0,22,50.35,0,0,1
123,0.030493520884857062,0,Bajo_Riesgo,0,70,57.8,2,0,0
124,0.52090300567244,1,Medio_Riesgo,0,30,84.3,0,1,1
125,0.15735370927053724,0,Medio_Riesgo,0,71,100.55,1,1,1
126,0.07979561476130502,0,Bajo_Riesgo,0,30,19.8,1,0,0
127,0.6867419053437774,1,Alto_Riesgo,1,4,84.8,0,1,1
128,0.8808393510982897,1,Alto_Riesgo,1,2,85.85,0,1,1
129,0.19877587741537245,0,Medio_Riesgo,0,10,19.95,1,0,0
130,0.7973949319882947,1,Alto_Riesgo,0,4,75.35,0,1,1
131,0.46443136363598736,0,Medio_Riesgo,0,52,48.8,0,0,1
132,0.6271200116870292,1,Medio_Riesgo,1,5,47.15,0,0,1
133,0.06833637614850532,0,Bajo_Riesgo,0,8,20.15,2,0,0
134,0.7864962675785506,1,Alto_Riesgo,0,2,44.3,0,0,1
135,0.8006873154257999,1,Alto_Riesgo,0,3,84.3,0,1,1
136,0.410457914327444,0,Medio_Riesgo,0,19,59.55,0,0,0
137,0.011866500090202282,0,Bajo_Riesgo,0,72,69.65,2,0,0
138,0.05162548987224565,0,Bajo_Riesgo,0,63,36.1,1,0,0
139,0.034245320155906964,0,Bajo_Riesgo,0,66,56.6,2,0,0
140,0.8270571429351636,1,Alto_Riesgo,1,1,75.9,0,1,0
141,0.24245334375643687,0,Medio_Riesgo,0,60,79.2,1,1,1
142,0.09196401523721817,0,Bajo_Riesgo,0,48,45.0,1,0,1
143,0.8695461121311879,1,Alto_Riesgo,1,1,85.55,0,1,1
144,0.8970421167288418,1,Alto_Riesgo,1,15,93.35,0,1,1
145,0.40131468971045875,0,Medio_Riesgo,0,50,109.65,0,1,0
146,0.0179844642708582,0,Bajo_Riesgo,0,72,89.7,2,0,0
147,0.3227735799308483,0,Medio_Riesgo,0,46,84.25,0,1,1
148,0.01698765900804841,0,Bajo_Riesgo,0,72,92.65,2,0,0
149,0.2911737401836739,0,Medio_Riesgo,0,1,19.7,0,0,0
150,0.7449323922223893,1,Alto_Riesgo,0,1,50.1,0,0,1
151,0.1050403594977962,0,Medio_Riesgo,0,67,92.45,2,1,0
152,0.0768387178252757,0,Bajo_Riesgo,0,48,79.65,2,0,0
153,0.12506487137793798,0,Medio_Riesgo,0,72,109.9,2,1,0
154,0.06933418251900925,0,Bajo_Riesgo,0,52,81.4,1,0,0
155,0.04809338639961951,0,Bajo_Riesgo,0,67,50.55,1,0,1
156,0.7408068569818435,1,Alto_Riesgo,1,28,81.05,0,1,1
157,0.20499684917651542,0,Medio_Riesgo,0,32,62.45,0,0,1
158,0.6185736852241054,1,Medio_Riesgo,1,27,75.2,0,1,1
159,0.7874872047147046,1,Alto_Riesgo,0,3,90.4,0,1,1
160,0.9150859214978792,1,Alto_Riesgo,1,2,85.65,0,1,1
161,0.6326322646019037,1,Medio_Riesgo,1,9,72.9,0,0,0
162,0.05859849755387539,0,Bajo_Riesgo,0,50,70.5,2,0,0
163,0.010439811902877736,0,Bajo_Riesgo,0,71,20.1,2,0,0
164,0.7477867242296267,1,Alto_Riesgo,1,32,74.9,0,1,1
165,0.6428344055710652,1,Medio_Riesgo,0,16,100.7,0,1,1
166,0.10787683951210897,0,Medio_Riesgo,0,67,105.65,2,1,0
167,0.06331991736796073,0,Bajo_Riesgo,0,72,114.3,2,1,0
168,0.4321191425275031,0,Medio_Riesgo,1,3,19.75,0,0,0
169,0.08958155575137633,0,Bajo_Riesgo,0,23,24.35,1,0,0
170,0.009158483071407923,0,Bajo_Riesgo,0,72,69.85,2,0,0
171,0.4996448422840785,0,Medio_Riesgo,0,7,58.85,0,0,1
172,0.7544921152323288,1,Alto_Riesgo,0,8,54.4,0,0,1
173,0.04022009663021617,0,Bajo_Riesgo,0,66,50.55,2,0,0
174,0.31995933921485714,0,Medio_Riesgo,1,5,21.05,0,0,0
175,0.5920349142081609,1,Medio_Riesgo,1,49,103.7,0,1,1
176,0.022697204039475085,0,Bajo_Riesgo,0,63,19.95,2,0,0
177,0.5158715955376121,1,Medio_Riesgo,0,12,29.3,0,0,0
178,0.2953317174804756,0,Medio_Riesgo,0,27,54.75,0,0,1
179,0.28696559107366015,0,Medio_Riesgo,0,35,60.55,0,0,1
180,0.31440203659505095,0,Medio_Riesgo,0,54,86.2,0,0,0
181,0.9285052810593325,1,Alto_Riesgo,1,1,95.45,0,1,1
182,0.6347476989687918,1,Medio_Riesgo,0,5,63.95,0,0,0
183,0.2437222552553147,0,Medio_Riesgo,0,19,65.35,1,0,0
184,0.04259055102341282,0,Bajo_Riesgo,0,52,50.2,2,0,0
185,0.030881594066218074,0,Bajo_Riesgo,0,72,63.8,2,0,0
186,0.06326087923280145,0,Bajo_Riesgo,0,32,20.05,2,0,0
187,0.8154788797492964,1,Alto_Riesgo,1,8,101.15,0,1,1
188,0.16201273275992503,0,Medio_Riesgo,0,41,65.0,1,0,1
189,0.4272769957857916,0,Medio_Riesgo,0,5,19.25,0,0,0
190,0.2657154254813523,0,Medio_Riesgo,0,11,36.05,1,0,0
191,0.8897080180284731,1,Alto_Riesgo,1,5,96.1,0,1,0
192,0.13906446526695396,0,Medio_Riesgo,0,16,19.05,1,0,0
193,0.17187263177765488,0,Medio_Riesgo,0,71,105.75,1,1,0
194,0.27380006117718403,0,Medio_Riesgo,0,11,40.4,1,0,0
195,0.5834208168784045,1,Medio_Riesgo,1,61,99.15,0,1,1
196,0.06451935268561841,0,Bajo_Riesgo,0,71,84.8,1,0,0
197,0.29636674429614523,0,Medio_Riesgo,0,9,19.85,0,0,0
198,0.664948208937216,1,Medio_Riesgo,0,6,49.45,0,0,1
199,0.7961066746672382,1,Alto_Riesgo,1,26,88.8,0,1,1
200,0.4020337714758948,0,Medio_Riesgo,0,6,55.15,0,0,1
201,0.7843457535261965,1,Alto_Riesgo,0,11,84.8,0,1,1
202,0.906956351085233,1,Alto_Riesgo,1,1,80.55,0,1,1
203,0.033804100169244594,0,Bajo_Riesgo,0,49,20.15,2,0,0
204,0.644964372518696,1,Medio_Riesgo,0,3,58.7,0,0,1
205,0.060856491886932026,0,Bajo_Riesgo,0,53,99.5,2,1,0
206,0.7378213828860936,1,Alto_Riesgo,1,23,99.85,0,1,0
207,0.6497569460659242,1,Medio_Riesgo,1,2,45.35,0,0,1
208,0.604055757509145,1,Medio_Riesgo,1,1,48.55,0,0,1
209,0.13106750584195606,0,Medio_Riesgo,0,3,26.4,2,0,0
210,0.6123480597069134,1,Medio_Riesgo,1,68,100.2,0,1,1
211,0.9101916044017991,1,Alto_Riesgo,1,8,94.7,0,1,1
212,0.39276146305123716,0,Medio_Riesgo,0,70,97.65,1,1,1
213,0.47690107993594,0,Medio_Riesgo,0,39,100.0,1,1,1
214,0.8757124665402366,1,Alto_Riesgo,1,1,70.1,0,1,1
215,0.8756145379002973,1,Alto_Riesgo,1,3,97.9,0,1,0
216,0.21243584726992998,0,Medio_Riesgo,0,60,102.5,1,1,1
217,0.7732543138650917,1,Alto_Riesgo,1,5,69.95,0,1,1
218,0.8670653487873595,1,Alto_Riesgo,1,3,81.35,0,1,1
219,0.059270019139742725,0,Bajo_Riesgo,0,55,66.05,1,0,0
220,0.04999201857160582,0,Bajo_Riesgo,0,72,61.2,2,0,0
221,0.021112466016138493,0,Bajo_Riesgo,0,72,74.4,2,0,0
222,0.7498595030843488,1,Alto_Riesgo,1,41,106.3,0,1,1
223,0.02800178563801455,0,Bajo_Riesgo,0,60,39.6,2,0,1
224,0.8808572890753565,1,Alto_Riesgo,1,6,89.3,0,1,1
225,0.17433457089757956,0,Medio_Riesgo,0,46,108.9,2,1,0
226,0.2609508009742855,0,Medio_Riesgo,0,15,19.9,0,0,0
227,0.4576764905860183,0,Medio_Riesgo,1,58,102.1,0,1,0
228,0.043168547639438004,0,Bajo_Riesgo,0,23,19.6,2,0,0
229,0.7739668126186414,1,Alto_Riesgo,1,31,98.9,0,1,0
230,0.5345346293660573,1,Medio_Riesgo,0,11,45.9,0,0,1
231,0.15913806512298914,0,Medio_Riesgo,0,56,99.9,2,1,0
232,0.18442018959929862,0,Medio_Riesgo,0,25,20.05,0,0,0
233,0.029869034467992918,0,Bajo_Riesgo,0,68,64.35,2,0,0
234,0.03432121704475603,0,Bajo_Riesgo,0,40,19.65,2,0,0
235,0.7416484092208612,1,Alto_Riesgo,1,36,84.9,0,1,1
236,0.5833141774849782,1,Medio_Riesgo,1,32,108.15,0,1,0
237,0.018049448998347383,0,Bajo_Riesgo,0,71,86.85,2,0,0
238,0.8409088353661679,1,Alto_Riesgo,0,17,102.55,0,1,1
239,0.5980454819678803,1,Medio_Riesgo,0,18,78.2,0,1,0
240,0.34235830566272163,0,Medio_Riesgo,0,37,91.2,0,1,1
241,0.3415427167306092,0,Medio_Riesgo,0,2,19.35,0,0,0
242,0.40976123491978156,0,Medio_Riesgo,0,28,70.4,1,1,1
243,0.23108964620189548,0,Medio_Riesgo,0,9,39.55,1,0,1
244,0.5932259021188059,1,Medio_Riesgo,0,1,50.15,0,0,1
245,0.0222657865580093,0,Bajo_Riesgo,0,65,20.4,2,0,0
246,0.6440088161293477,1,Medio_Riesgo,0,3,44.6,0,0,1
247,0.8453687951025104,1,Alto_Riesgo,1,1,34.7,0,0,1
248,0.7587211165485902,1,Alto_Riesgo,0,36,93.6,0,1,1
249,0.7987119973570761,1,Alto_Riesgo,1,23,90.6,0,1,0
250,0.25978516501170434,0,Medio_Riesgo,0,22,57.95,0,0,0
251,0.04607520744517685,0,Bajo_Riesgo,0,72,112.1,2,1,0
252,0.7621156418684505,1,Alto_Riesgo,1,17,88.25,0,1,1
253,0.7706412717928469,1,Alto_Riesgo,1,3,85.8,0,1,0
254,0.04912500184702415,0,Bajo_Riesgo,1,58,60.3,1,0,1
255,0.03072120586424155,0,Bajo_Riesgo,0,67,81.35,2,0,1
256,0.6923242099190242,1,Alto_Riesgo,0,34,99.85,1,1,1
257,0.2801607410204699,0,Medio_Riesgo,0,10,20.0,0,0,0
258,0.04782049666133582,0,Bajo_Riesgo,0,69,85.35,2,0,0
259,0.1774977027562329,0,Medio_Riesgo,0,40,62.05,1,0,1
260,0.36395255473853716,0,Medio_Riesgo,0,20,64.4,0,0,1
261,0.023577384980827672,0,Bajo_Riesgo,0,46,19.4,2,0,0
262,0.8172345155998001,1,Alto_Riesgo,1,2,74.4,0,1,1
263,0.8329516691673687,1,Alto_Riesgo,1,1,70.45,0,1,1
264,0.11923377952750155,0,Medio_Riesgo,0,72,105.0,2,1,1
265,0.010890831354662673,0,Bajo_Riesgo,0,70,25.15,2,0,0
266,0.3416054558985107,0,Medio_Riesgo,0,2,19.3,0,0,0
267,0.3206759308014687,0,Medio_Riesgo,0,23,55.3,0,0,0
268,0.7988079145349217,1,Alto_Riesgo,0,36,95.4,0,1,1
269,0.6074118725214482,1,Medio_Riesgo,1,59,93.85,0,1,1
270,0.015130299780518454,0,Bajo_Riesgo,0,67,20.5,2,0,0
271,0.10462542456018453,0,Medio_Riesgo,0,72,105.55,2,1,1
272,0.6758171401673905,1,Medio_Riesgo,1,37,101.9,0,1,1
273,0.009900179949856255,0,Bajo_Riesgo,0,72,24.45,2,0,0
274,0.011719985880675188,0,Bajo_Riesgo,0,72,19.7,2,0,0
275,0.8664294922887728,1,Alto_Riesgo,1,3,74.4,0,1,1
276,0.41090317018365036,0,Medio_Riesgo,1,54,101.5,1,1,1
277,0.5570098171736028,1,Medio_Riesgo,1,60,95.75,0,1,1
278,0.25965223379648633,0,Medio_Riesgo,0,58,110.65,1,1,1
279,0.5887817623221873,1,Medio_Riesgo,0,31,83.85,0,1,1
280,0.8171985953710841,1,Alto_Riesgo,0,3,60.25,0,0,1
281,0.061580846635901965,0,Bajo_Riesgo,0,55,59.2,2,0,0
282,0.5591770944955844,1,Medio_Riesgo,1,1,44.4,0,0,1
283,0.5481697926080717,1,Medio_Riesgo,0,49,85.3,0,1,1
284,0.5088300988451413,1,Medio_Riesgo,1,8,25.5,0,0,1
285,0.8330139641794123,1,Alto_Riesgo,0,39,99.75,0,1,1
286,0.02828687295927768,0,Bajo_Riesgo,0,66,66.1,2,0,1
287,0.11276923011159173,0,Medio_Riesgo,0,15,20.55,1,0,0
288,0.5287723850159933,1,Medio_Riesgo,0,51,98.85,1,1,1
289,0.46263000913001456,0,Medio_Riesgo,0,9,49.2,0,0,0
290,0.3462133791235918,0,Medio_Riesgo,1,1,20.9,0,0,0
291,0.15069207896917558,0,Medio_Riesgo,0,25,19.5,1,0,0
292,0.7451290036756925,1,Alto_Riesgo,0,22,87.0,0,1,1
293,0.660834645337887,1,Medio_Riesgo,0,15,49.0,0,0,1
294,0.5690761137674282,1,Medio_Riesgo,1,28,90.1,1,1,1
295,0.8410434388198159,1,Alto_Riesgo,0,3,90.7,0,1,1
296,0.7272768152260143,1,Alto_Riesgo,0,47,100.5,0,1,1
297,0.0529891013976929,0,Bajo_Riesgo,0,67,85.25,2,0,0
298,0.8133799563696549,1,Alto_Riesgo,0,18,74.7,0,1,1
299,0.029368743672568982,0,Bajo_Riesgo,0,62,60.15,2,0,0
300,0.3756216380676181,0,Medio_Riesgo,0,41,80.55,1,0,1
301,0.35312777189723943,0,Medio_Riesgo,0,44,50.15,0,0,1
302,0.21324383650369433,0,Medio_Riesgo,0,53,94.45,1,1,0
303,0.0379615077563768,0,Bajo_Riesgo,0,48,20.05,2,0,0
304,0.24497684034272502,0,Medio_Riesgo,0,54,115.6,1,1,0
305,0.26459048274853947,0,Medio_Riesgo,1,48,45.3,0,0,1
306,0.7641237517279909,1,Alto_Riesgo,0,24,99.65,0,1,1
307,0.11340929727064433,0,Medio_Riesgo,0,33,80.6,2,1,0
308,0.03968303460373017,0,Bajo_Riesgo,0,66,85.25,2,0,0
309,0.837010521782457,1,Alto_Riesgo,0,3,69.55,0,1,1
310,0.12122055400554098,0,Medio_Riesgo,0,13,35.4,2,0,0
311,0.03401986982704246,0,Bajo_Riesgo,0,63,83.5,2,0,1
312,0.48299610462159887,0,Medio_Riesgo,1,23,83.8,0,1,0
313,0.02135347103226346,0,Bajo_Riesgo,0,52,25.6,2,0,0
314,0.4276465962473262,0,Medio_Riesgo,0,3,20.75,0,0,0
315,0.6170937385256451,1,Medio_Riesgo,0,10,56.75,0,0,1
316,0.010140928351391585,0,Bajo_Riesgo,0,72,20.1,2,0,0
317,0.7022402088253819,1,Alto_Riesgo,0,29,98.8,0,1,0
318,0.4365533629148648,0,Medio_Riesgo,0,62,104.85,1,1,1
319,0.39190070924339504,0,Medio_Riesgo,1,41,73.0,1,0,1
320,0.6204987339528244,1,Medio_Riesgo,1,43,77.85,0,1,1
321,0.39419397622202246,0,Medio_Riesgo,0,26,105.45,2,1,0
322,0.8609574874890875,1,Alto_Riesgo,0,19,96.8,0,1,1
323,0.010327538085465958,0,Bajo_Riesgo,0,72,24.25,2,0,0
324,0.538677582693307,1,Medio_Riesgo,0,45,102.15,1,1,1
325,0.3941173118031029,0,Medio_Riesgo,0,32,64.85,1,0,1
326,0.1864255623459507,0,Medio_Riesgo,0,41,25.25,0,0,0
327,0.012618323284630105,0,Bajo_Riesgo,0,65,24.75,2,0,0
328,0.5433151443388511,1,Medio_Riesgo,1,55,96.75,0,1,1
329,0.06310406602918016,0,Bajo_Riesgo,0,11,19.65,2,0,0
330,0.10509436078333052,0,Medio_Riesgo,0,49,74.45,2,0,0
331,0.2331997807567227,0,Medio_Riesgo,0,61,99.4,0,1,0
332,0.24231088285148825,0,Medio_Riesgo,0,25,19.15,0,0,0
333,0.8760763572685536,1,Alto_Riesgo,1,1,69.5,0,1,1
334,0.3131569255658214,0,Medio_Riesgo,0,23,49.45,1,0,0
335,0.7933723981328797,1,Alto_Riesgo,0,21,73.7,0,1,1
336,0.8919466629550451,1,Alto_Riesgo,1,1,79.7,0,1,1
337,0.7857439804783449,1,Alto_Riesgo,1,5,79.9,0,1,1
338,0.18907684376494005,0,Medio_Riesgo,0,24,74.4,1,0,0
339,0.6382100846729535,1,Medio_Riesgo,1,27,88.3,0,1,1
340,0.01191339130347696,0,Bajo_Riesgo,0,70,19.8,2,0,0
341,0.8210476745792266,1,Alto_Riesgo,1,5,75.55,0,1,1
342,0.03636434149887543,0,Bajo_Riesgo,0,46,20.2,2,0,0
343,0.8394017522787478,1,Alto_Riesgo,0,2,71.65,0,1,1
344,0.024368311083803416,0,Bajo_Riesgo,0,57,20.1,2,0,0
345,0.7467053477388589,1,Alto_Riesgo,1,1,71.1,0,1,1
346,0.40309440630807264,0,Medio_Riesgo,0,60,100.5,1,1,1
347,0.05021485307858605,0,Bajo_Riesgo,0,37,62.8,2,0,0
348,0.8073972585876085,1,Alto_Riesgo,1,1,70.45,0,1,1
349,0.386595646610168,0,Medio_Riesgo,0,28,100.35,1,1,1
350,0.3481227863700867,0,Medio_Riesgo,0,24,20.3,0,0,0
351,0.23279901173928388,0,Medio_Riesgo,0,62,92.05,1,1,1
352,0.11097533571229523,0,Medio_Riesgo,1,18,20.15,1,0,0
353,0.4705733990410064,0,Medio_Riesgo,1,5,54.2,0,0,0
354,0.18985570962227102,0,Medio_Riesgo,0,20,20.35,0,0,0
355,0.7470745045940265,1,Alto_Riesgo,1,1,70.75,0,1,1
356,0.5083390676044285,1,Medio_Riesgo,1,35,102.35,1,1,1
357,0.43934382943708067,0,Medio_Riesgo,0,52,50.5,0,0,0
358,0.7449645896753351,1,Alto_Riesgo,1,30,85.0,0,1,1
359,0.016767919583003586,0,Bajo_Riesgo,0,72,42.1,2,0,1
360,0.7839441531694126,1,Alto_Riesgo,1,15,75.65,0,1,1
361,0.11760111754697192,0,Medio_Riesgo,0,70,114.6,2,1,0
362,0.013656984276728713,0,Bajo_Riesgo,0,66,65.7,2,0,0
363,0.6027260946962522,1,Medio_Riesgo,0,55,74.0,0,1,1
364,0.5303028943270189,1,Medio_Riesgo,1,55,85.45,0,1,1
365,0.1780594870342003,0,Medio_Riesgo,0,57,71.1,1,0,1
366,0.14850786661593968,0,Medio_Riesgo,0,72,109.55,2,1,1
367,0.1702194189405852,0,Medio_Riesgo,0,28,20.5,0,0,0
368,0.07773461279384856,0,Bajo_Riesgo,0,54,74.55,2,0,1
369,0.7207714002068369,1,Alto_Riesgo,0,24,79.85,0,1,1
370,0.5916794740731554,1,Medio_Riesgo,0,2,62.15,0,0,1
